filename,width,height,class,xmin,ymin,xmax,ymax
img000001.jpg,1920,1200,Tango,541,225,1031,697
img000002.jpg,1920,1200,Tango,834,188,1696,1336
img000003.jpg,1920,1200,Tango,919,512,1252,671
img000004.jpg,1920,1200,Tango,873,508,1245,832
img000005.jpg,1920,1200,Tango,511,543,1621,1000
img000006.jpg,1920,1200,Tango,766,553,961,710
img000007.jpg,1920,1200,Tango,872,617,1016,833
img000008.jpg,1920,1200,Tango,885,505,1148,621
img000009.jpg,1920,1200,Tango,850,444,1258,723
img000010.jpg,1920,1200,Tango,862,607,1083,801
img000011.jpg,1920,1200,Tango,765,467,1139,710
img000012.jpg,1920,1200,Tango,799,435,1473,1181
img000013.jpg,1920,1200,Tango,835,642,1114,827
img000015.jpg,1920,1200,Tango,793,600,1036,926
img000016.jpg,1920,1200,Tango,595,-80,1073,964
img000017.jpg,1920,1200,Tango,942,358,1252,783
img000018.jpg,1920,1200,Tango,816,434,963,613
img000019.jpg,1920,1200,Tango,673,125,1142,526
img000020.jpg,1920,1200,Tango,964,227,1150,474
img000023.jpg,1920,1200,Tango,387,-144,1285,556
img000024.jpg,1920,1200,Tango,920,605,1049,789
img000027.jpg,1920,1200,Tango,668,444,1064,983
img000028.jpg,1920,1200,Tango,692,262,1435,993
img000029.jpg,1920,1200,Tango,918,538,1181,627
img000031.jpg,1920,1200,Tango,649,403,1411,954
img000032.jpg,1920,1200,Tango,350,247,1373,891
img000034.jpg,1920,1200,Tango,889,563,1137,708
img000035.jpg,1920,1200,Tango,1083,409,1280,547
img000036.jpg,1920,1200,Tango,793,299,1383,1061
img000037.jpg,1920,1200,Tango,826,477,1292,1031
img000039.jpg,1920,1200,Tango,861,311,1184,808
img000040.jpg,1920,1200,Tango,921,375,1253,733
img000042.jpg,1920,1200,Tango,887,372,1180,516
img000043.jpg,1920,1200,Tango,666,468,1129,777
img000044.jpg,1920,1200,Tango,459,261,1424,760
img000045.jpg,1920,1200,Tango,921,729,1072,825
